Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	obo:BSPO_0015004	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002583	obo:IAO_0000115		
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/#_has_start_point	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002593	obo:IAO_0000115		
ERROR	duplicate_label	http://purl.obolibrary.org/obo/http://purl.obolibrary.org/obo#existence_starts_and_ends_during	rdfs:label		
ERROR	duplicate_label	obo:RO_0002491	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/bspo#seeAlso	rdfs:label		
ERROR	missing_label	oboInOwl:creation_date	rdfs:label		
ERROR	missing_label	foaf:page	rdfs:label		
ERROR	missing_label	skos:altLabel	rdfs:label		
ERROR	missing_label	dc11:description	rdfs:label		
ERROR	missing_label	oboInOwl:created_by	rdfs:label		
ERROR	missing_label	obo:hasRelatedSynonym	rdfs:label		
ERROR	missing_label	oboInOwl:auto-generated-by	rdfs:label		
ERROR	missing_label	oboInOwl:date	rdfs:label		
ERROR	missing_label	oboInOwl:saved-by	rdfs:label		
ERROR	missing_label	oboInOwl:default-namespace	rdfs:label		
ERROR	missing_label	dc11:creator	rdfs:label		
ERROR	missing_label	foaf:depiction	rdfs:label		
ERROR	missing_label	oboInOwl:id	rdfs:label		
ERROR	missing_label	obo:inSubset	rdfs:label		
ERROR	missing_label	oboInOwl:inSubset	rdfs:label		
ERROR	missing_label	http://purl.org/spar/cito/citesAsAuthority	rdfs:label		
ERROR	missing_label	dc11:contributor	rdfs:label		
ERROR	missing_label	obo:shorthand	rdfs:label		
ERROR	missing_label	dc11:source	rdfs:label		
ERROR	missing_label	obo:hasNarrowSynonym	rdfs:label		
ERROR	missing_label	obo:hyman_vesicle	rdfs:label		
ERROR	ontology_metadata	http://purl.obolibrary.org/obo	dc:license		
ERROR	ontology_metadata	http://purl.obolibrary.org/obo	dc11:title		
ERROR	ontology_metadata	http://purl.obolibrary.org/obo	dc11:description		
WARN	multiple_asserted_superclasses	obo:BSPO_0000671	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000673	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000090	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000672	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000674	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000677	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000679	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000678	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000211	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000530	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000135	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000009	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000528	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:PLANA_0000529	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000682	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000046	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000684	rdfs:subClassOf		
WARN	multiple_asserted_superclasses	obo:BSPO_0000045	rdfs:subClassOf		
