defined_class	defined_class_name	cell_cycle_phase	cell_cycle_phase_label	cell_type_entity	cell_type_entity_label	exact_syn	term_id	depicted_by	image_comment	def_dbxref	has_obo_namespace
PLANA:0003200	G1 phase neoblast 	GO:0000080	mitotic G1 phase	PLANA:0000429	neoblast		PLANA:0003200				Planarian_Anatomy
PLANA:0003201	S phase neoblast	GO:0000084	mitotic S phase	PLANA:0000429	neoblast		PLANA:0003201				Planarian_Anatomy
PLANA:0003202	G2 phase neoblast	GO:0000085	mitotic G2 phase	PLANA:0000429	neoblast		PLANA:0003202				Planarian_Anatomy
PLANA:0003203	prophase neoblast	GO:0000088	mitotic prophase	PLANA:0000429	neoblast		PLANA:0003203				Planarian_Anatomy
PLANA:0003204	metaphase neoblast	GO:0000089	mitotic metaphase	PLANA:0000429	neoblast	M phase neoblast	PLANA:0003204				Planarian_Anatomy
PLANA:0003205	anaphase neoblast 	GO:0000090	mitotic anaphase	PLANA:0000429	neoblast		PLANA:0003205				Planarian_Anatomy
PLANA:0003206	telophase neoblast 	GO:0000093	mitotic telophase	PLANA:0000429	neoblast		PLANA:0003206				Planarian_Anatomy
PLANA:0003207	G1 phase spermatogonial stem cell	GO:0000080	mitotic G1 phase	PLANA:0000219	spermatogonial stem cell		PLANA:0003207				Planarian_Anatomy
PLANA:0003208	S phase spermatogonial stem cell	GO:0000084	mitotic S phase	PLANA:0000219	spermatogonial stem cell		PLANA:0003208				Planarian_Anatomy
PLANA:0003209	G2 phase spermatogonial stem cell	GO:0000085	mitotic G2 phase	PLANA:0000219	spermatogonial stem cell		PLANA:0003209				Planarian_Anatomy
PLANA:0003210	prophase spermatogonial stem cell	GO:0000088	mitotic prophase	PLANA:0000219	spermatogonial stem cell		PLANA:0003210				Planarian_Anatomy
PLANA:0003211	metaphase spermatogonial stem cell	GO:0000089	mitotic metaphase	PLANA:0000219	spermatogonial stem cell		PLANA:0003211				Planarian_Anatomy
PLANA:0003212	anaphase spermatogonial stem cell	GO:0000090	mitotic anaphase	PLANA:0000219	spermatogonial stem cell		PLANA:0003212				Planarian_Anatomy
PLANA:0003213	telophase spermatogonial stem cell	GO:0000093	mitotic telophase	PLANA:0000219	spermatogonial stem cell		PLANA:0003213				Planarian_Anatomy
PLANA:0003214	G1 phase oogonial stem cell	GO:0000080	mitotic G1 phase	PLANA:0000223	oogonial stem cell		PLANA:0003214				Planarian_Anatomy
PLANA:0003215	S phase oogonial stem cell	GO:0000084	mitotic S phase	PLANA:0000223	oogonial stem cell		PLANA:0003215				Planarian_Anatomy
PLANA:0003216	G2 phase  oogonial stem cell	GO:0000085	mitotic G2 phase	PLANA:0000223	oogonial stem cell		PLANA:0003216				Planarian_Anatomy
PLANA:0003217	prophase  oogonial stem cell	GO:0000088	mitotic prophase	PLANA:0000223	oogonial stem cell		PLANA:0003217				Planarian_Anatomy
PLANA:0003218	metaphase oogonial stem cell	GO:0000089	mitotic metaphase	PLANA:0000223	oogonial stem cell		PLANA:0003218				Planarian_Anatomy
PLANA:0003219	anaphase oogonial stem cell	GO:0000090	mitotic anaphase	PLANA:0000223	oogonial stem cell		PLANA:0003219				Planarian_Anatomy
PLANA:0003220	telophase  oogonial stem cell	GO:0000093	mitotic telophase	PLANA:0000223	oogonial stem cell		PLANA:0003220				Planarian_Anatomy
PLANA:0003221	G1 phase spermatogonium	GO:0000080	mitotic G1 phase	PLANA:0000220	spermatogonium		PLANA:0003221				Planarian_Anatomy
PLANA:0003222	S phase spermatogonium	GO:0000084	mitotic S phase	PLANA:0000220	spermatogonium		PLANA:0003222				Planarian_Anatomy
PLANA:0003223	G2 phase spermatogonium	GO:0000085	mitotic G2 phase	PLANA:0000220	spermatogonium		PLANA:0003223				Planarian_Anatomy
PLANA:0003224	prophase spermatogonium	GO:0000088	mitotic prophase	PLANA:0000220	spermatogonium		PLANA:0003224				Planarian_Anatomy
PLANA:0003225	metaphase spermatogonia	GO:0000089	mitotic metaphase	PLANA:0000220	spermatogonium		PLANA:0003225				Planarian_Anatomy
PLANA:0003226	anaphase spermatogonia	GO:0000090	mitotic anaphase	PLANA:0000220	spermatogonium		PLANA:0003226				Planarian_Anatomy
PLANA:0003227	telophase spermatogonium	GO:0000093	mitotic telophase	PLANA:0000220	spermatogonium		PLANA:0003227				Planarian_Anatomy
PLANA:0003228	G1 phase oogonial cell	GO:0000080	mitotic G1 phase	PLANA:0000239	oogonial cell		PLANA:0003228				Planarian_Anatomy
