defined_class	defined_class_name	exact_syn	dbxref
PLANA:0000041	aboral hemisphere		PMID:28072387
PLANA:0007538	adhesion gland	marginal adhesive gland	ISBN:9780070316607
PLANA:0000102	anatomical compartment subdivision	body region	PMID:29547123|PMID:28292427
PLANA:0007524	anterior pole	anterior signaling center	PMID:26525673|PMID:18063755|PMID:28292427|PMID:21566195|PMID:27800171|PMID:28893948|PMID:24523458|PMID:24415944|PMID:28216315|PMID:23318641|PMID:26062938|PMID:30485821|PMID:29547123|PMID:23903188|PMID:24704339|PMID:23297191|PMID:23954785|PMID:29906446|PMID:25725068|PMID:24040508|PMID:24992682|PMID:27074666|PMID:25254346
PLANA:0000538	axon tract	axon bundle|axon bundles|axon tracts	PMID:28137894|PMID:22884275|PMID:24950970
PLANA:0001005	basal lamina of epithelium	basal lamina|basement membrane	PMID:25017721|PMID:23405188|PMID:23079596|PMID:18786419|PMID:23903188|PMID:19048075|PMID:29100657|PMID:26457503|PMID:30962434|ISBN:9780070316607|PMID:27551436|PMID:21664348|PMID:21828097|PMID:22479207|PMID:26057828|PMID:30383829
PLANA:0000488	basophilic gland cell	cyanophilic gland cell|cyanophilic secretory cell|cyanophilous gland	PMID:20865784|ISBN:9780070316607|PMID:23405188
PLANA:0000546	bipolar neuron	bipolar nerve cell	PMID:24173799|PMID:24173799|PMID:22445864|PMID:21458439|PMID:18202849|PMID:16033796|PMID:25493551|ISBN:9780070316607
PLANA:0000495	blastema	regeneration blastema|regenerative blastema	PMID:21295481|PMID:24120894|PMID:22451003|PMID:27606067|PMID:26711341|PMID:28807897|https://doi.org/10.1101/279364|PMID:19766622|PMID:28126842|PMID:27612384|PMID:23250205|PMID:20215344|PMID:25772472|PMID:23629965|PMID:24704339|PMID:30297872|PMID:21937596|PMID:15866156|PMID:16033796|PMID:28137894|PMID:20223763|PMID:28216315|PMID:24415944|PMID:22899852|PMID:22439894|PMID:17905225|PMID:18063755|PMID:24173799|PMID:30237141|PMID:17553481|PMID:17670787|PMID:19852954|PMID:26459857|PMID:21664348|PMID:21806978|PMID:18202849|PMID:22411224|PMID:16890156|PMID:19048075|PMID:17251262|PMID:21179478|PMID:22125640|PMID:20599901|PMID:26062938|PMID:20422023|PMID:17942485|PMID:25956527|PMID:28893948|PMID:18456843|PMID:27240733|PMID:20422023|PMID:29291981|PMID:15972844|PMID:27013241|PMID:21356107|PMID:28461239|PMID:30729158|PMID:29291974|PMID:22252539|PMID:23235145|PMID:30194301|PMID:25558068|PMID:22549959|PMID:23405188|PMID:21458439|PMID:19247960|PMID:27068018|PMID:20040488|PMID:22479207|PMID:29273738|PMID:21295483|PMID:24523458|PMID:27612382|PMID:24173799|PMID:22884275|PMID:27542689|PMID:21566195|PMID:28757112|PMID:26525673|PMID:23652002|PMID:29357350|PMID:25725068|PMID:24040508|PMID:26884331|PMID:25254346|PMID:19174194|PMID:30282036|PMID:24922054|PMID:27551436|PMID:22318224|PMID:24063805|PMID:30471994|PMID:23318641|PMID:29158443|PMID:28171748|PMID:30485821
PLANA:0004517	blastomere		PMID:28072387
PLANA:0000240	body wall musculature	BWM|body muscle|body wall muscle|body-wall muscle|body-wall musculature|muscle layer surrounding the body wall	PMID:30471994|PMID:22385657|PMID:28171748|PMID:29547123|PMID:21828097|PMID:27063937|PMID:29674432|PMID:27074666|PMID:24992682|PMID:29100657|PMID:19174194|PMID:30962434|PMID:19048075|PMID:29674431
PLANA:0000028	Category 2 cell	Category 2 gene expressing cell|NB.21.11e expressing cell|Smed-NB.21.11e+ cell|early division progeny|early epidermal progenitor|early neoblast progeny|early post-mitotic progeny|early progeny|prog-1+ epidermal progenitor cell	PMID:24173799|PMID:22427692|PMID:27542689|PMID:23318635|PMID:22439894|PMID:27068018|PMID:24367277|PMID:22899852|PMID:18786419|PMID:21894189|PMID:26651295|PMID:23629965|PMID:24063805|PMID:29674431|PMID:28072387|PMID:27013241
PLANA:0000035	Category 3 cell	AGAT-1 expressing cell|AGAT1 expressing cell|Category 3 gene expressing cell|Smed-AGAT-1+ cell|late division progeny|late epidermal progenitor|late neoblast progeny|late postmitotic progeny|late progeny	PMID:23318635|PMID:22439894|PMID:22899852|PMID:27068018|PMID:24367277|PMID:22427692|PMID:24173799|PMID:28072387|PMID:22252539|PMID:27013241|PMID:26651295|PMID:18786419|PMID:21894189|PMID:24063805|PMID:23954785|PMID:23297191|PMID:23629965
PLANA:0000018	Category 4 cell		PMID:22439894|PMID:28072387|PMID:18786419
PLANA:0000022	Category 5 cell		PMID:28072387
PLANA:0000506	cell junction		PMID:21458439|PMID:20511647
