defined_class	defined_class_label	existence_starts_during_or_after	existence_starts_during_or_after_label
PLANA:0002004	anterior gut branch	PLANA:0000007	Stage 7
PLANA:0002015	cephalic ganglia lobe	PLANA:0000006	Stage 6
PLANA:0002029	early female germ cell	PLANA:0000214	juvenile
PLANA:0002030	early male germ cell	PLANA:0000214	juvenile
PLANA:0002031	embryonic gut	PLANA:0000004	Stage 4
PLANA:0002042	genital atrium	PLANA:0000214	juvenile
PLANA:0002043	germ cell cyst	PLANA:0000214	juvenile
PLANA:0002057	meiotic germ cell	PLANA:0000214	juvenile
PLANA:0002087	primitive gut	PLANA:0000003	Stage 3 
PLANA:0002089	reproductive organ	PLANA:0000214 	juvenile 
PLANA:0002090	reproductive structure	PLANA:0000214 	juvenile 
