defined_class	defined_class_name	part_of	part_of_label
PLANA:0000013	visceral musculature	PLANA:0000428	musculature system
PLANA:0000014	zeta neoblast	PLANA:0004529	integumental system
PLANA:0000016	pharynx	PLANA:0000049	digestive system
PLANA:0000017	photoreceptor neuron	PLANA:0000036	eye
PLANA:0000018	Category 4 cell	PLANA:0002063	non-ciliated epidermis
PLANA:0000018	Category 4 cell	PLANA:0000054	dorsal epidermis
PLANA:0000018	Category 4 cell	PLANA:0000096	ventral epidermis
PLANA:0000019	muscle progenitor cell	PLANA:0000428	musculature system
PLANA:0000020	protonephridia	PLANA:0000088	renal system
PLANA:0000022	Category 5 cell	PLANA:0000096	ventral epidermis
PLANA:0000022	Category 5 cell	PLANA:0000054	dorsal epidermis
PLANA:0000023	embryonic pharynx	PLANA:0000058	embryonic digestive system
PLANA:0000025	nervous system	PLANA:0007564	sexual organism
PLANA:0000026	gut	PLANA:0000049	digestive system
PLANA:0000028	Category 2 cell	PLANA:0004529	integumental system
PLANA:0000031	pigment cup cell	PLANA:0000075	optic cup
PLANA:0000034	epidermis	PLANA:0004529	integumental system
PLANA:0000035	Category 3 cell	PLANA:0004529	integumental system
PLANA:0000036	eye	PLANA:0000124	visual system
PLANA:0000036	eye	PLANA:0000103	central nervous system
PLANA:0000039	gamma neoblast	PLANA:0000049	digestive system
PLANA:0000042	anterior primary gut branch	PLANA:0000026	gut
PLANA:0000044	cephalic ganglia	PLANA:0000103	central nervous system
PLANA:0000045	circular muscle cell	PLANA:0000240	body wall musculature
PLANA:0000047	collecting duct	PLANA:0000088	renal system
PLANA:0000048	diagonal muscle cell	PLANA:0000240	body wall musculature
PLANA:0000049	digestive system	PLANA:0007565	asexual organism
PLANA:0000049	digestive system	PLANA:0007564	sexual organism
PLANA:0000053	distal tubule	PLANA:0000020	protonephridia
PLANA:0000055	dorsal stripe	PLANA:0000054	dorsal epidermis
PLANA:0000059	embryonic gut cell	PLANA:0002031	embryonic gut
PLANA:0000061	enteric musculature	PLANA:0000049	digestive system
PLANA:0000062	esophagus	PLANA:0000016	pharynx
PLANA:0000064	flame bulb	PLANA:0000020	protonephridia
PLANA:0000065	flame cell	PLANA:0000064	flame bulb
PLANA:0000066	gastrodermis	PLANA:0000026	gut
PLANA:0000067	goblet cell	PLANA:0000066	gastrodermis
PLANA:0000068	embryonic gut cavity	PLANA:0002031	embryonic gut
PLANA:0000070	intestinal phagocyte	PLANA:0000066	gastrodermis
PLANA:0000071	longitudinal muscle cell	PLANA:0000240	body wall musculature
PLANA:0000072	mouth	PLANA:0000049	digestive system
PLANA:0000074	oocyte	PLANA:0000204	ovary
PLANA:0000075	optic cup	PLANA:0000036	eye
PLANA:0000079	parenchymal musculature	PLANA:0000428	musculature system
PLANA:0000081	pharynx pouch	PLANA:0000016	pharynx
PLANA:0000084	posterior primary gut branch	PLANA:0000026	gut
PLANA:0000085	primitive gut cell	PLANA:0002087	primitive gut
PLANA:0000087	proximal tubule	PLANA:0000020	protonephridia
PLANA:0000088	renal system	PLANA:0007565	asexual organism
PLANA:0000088	renal system	PLANA:0007564	sexual organism
PLANA:0000090	sperm	PLANA:0000208	testis
PLANA:0000095	trail cell	PLANA:0000124	visual system
PLANA:0000097	ventral nerve cord	PLANA:0000103	central nervous system
PLANA:0000103	central nervous system	PLANA:0007565	asexual organism
PLANA:0000107	yolk cell	PLANA:0000060	embryonic wall
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000087	proximal tubule
PLANA:0000115	distal tubule epithelial cell	PLANA:0000053	distal tubule
PLANA:0000118	collecting duct epithelial cell	PLANA:0000047	collecting duct
PLANA:0000124	visual system	PLANA:0007565	asexual organism
PLANA:0000124	visual system	PLANA:0007564	sexual organism
PLANA:0000125	sensory system	PLANA:0007564	sexual organism
PLANA:0000125	sensory system	PLANA:0007565	asexual organism
PLANA:0000126	reproductive system	PLANA:0007564	sexual organism
PLANA:0000127	oviduct epithelial cell	PLANA:0004532	oviduct epithelium
PLANA:0000128	sperm duct epithelial cell	PLANA:0004533	sperm duct epithelium
PLANA:0000130	circular muscle progenitor cell	PLANA:0000428	musculature system
PLANA:0000133	mechanoreceptor cell	PLANA:0000080	peripheral nervous system
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000428	musculature system
PLANA:0000135	female primordial germ cell	PLANA:0000126	reproductive system
PLANA:0000201	bursal canal	PLANA:0000232	copulatory apparatus
PLANA:0000203	gonopore	PLANA:0000232	copulatory apparatus
PLANA:0000204	ovary	PLANA:0000126	reproductive system
PLANA:0000205	oviduct	PLANA:0000126	reproductive system
PLANA:0000206	penis papilla	PLANA:0000232	copulatory apparatus
PLANA:0000207	sperm duct	PLANA:0000126	reproductive system
PLANA:0000208	testis	PLANA:0000126	reproductive system
PLANA:0000211	primitive ectoderm cell	PLANA:0000029	primitive ectoderm
PLANA:0000217	gonad	PLANA:0000126	reproductive system
PLANA:0000218	male primordial germ cell	PLANA:0000126	reproductive system
PLANA:0000219	spermatogonial stem cell	PLANA:0000208	testis
PLANA:0000220	spermatogonium	PLANA:0000208	testis
PLANA:0000221	spermatocyte	PLANA:0000208	testis
PLANA:0000222	spermatid	PLANA:0000208	testis
PLANA:0000223	oogonial stem cell	PLANA:0000204	ovary
PLANA:0000224	cement gland	PLANA:0000232	copulatory apparatus
PLANA:0000227	germ cell	PLANA:0000126	reproductive system
PLANA:0000230	tuba	PLANA:0000126	reproductive system
PLANA:0000231	vitelline gland	PLANA:0000126	reproductive system
PLANA:0000232	copulatory apparatus	PLANA:0000126	reproductive system
PLANA:0000233	copulatory bursa	PLANA:0000232	copulatory apparatus
PLANA:0000234	seminal vesicle	PLANA:0000232	copulatory apparatus
PLANA:0000237	round spermatid	PLANA:0000208	testis
PLANA:0000238	elongate spermatid	PLANA:0000208	testis
PLANA:0000239	oogonial cell	PLANA:0000204	ovary
PLANA:0000240	body wall musculature	PLANA:0000428	musculature system
PLANA:0000241	pharynx longitudinal muscle cell	PLANA:0000478	pharynx musculature
PLANA:0000404	pharynx lumen	PLANA:0000016	pharynx
PLANA:0000405	digestive tract lumen	PLANA:0000026	gut
PLANA:0000406	oral opening	PLANA:0000023	embryonic pharynx
PLANA:0000406	oral opening	PLANA:0000072	mouth
PLANA:0000407	pharynx pouch cavity	PLANA:0000081	pharynx pouch
PLANA:0000411	gastrodermis surface	PLANA:0000026	gastrodermis
PLANA:0000412	pharynx inner epithelium surface	PLANA:0007534	pharynx inner epithelium
PLANA:0000413	pharynx outer epithelium surface	PLANA:0000472	outer pharynx epithelium
PLANA:0000414	pharynx pouch epithelial surface	PLANA:0002140	pharynx pouch epithelium
PLANA:0000428	musculature system	PLANA:0007565	asexual organism
PLANA:0000428	musculature system	PLANA:0007564	sexual organism
PLANA:0000430	epithelial cell component	PLANA:0000100	epithelial cell
PLANA:0000459	optic chiasm	PLANA:0000025	nervous system
PLANA:0000459	optic chiasm	PLANA:0000124	visual system
PLANA:0000460	anterior commissure	PLANA:0000044	cephalic ganglia
PLANA:0000461	lateral branch	PLANA:0000044	cephalic ganglia
PLANA:0000463	cholinergic neuron	PLANA:0000103	central nervous system
PLANA:0000464	GABAergic neuron	PLANA:0000080	peripheral nervous system
PLANA:0000464	GABAergic neuron	PLANA:0000103	central nervous system
PLANA:0000465	pharynx nerve plexus	PLANA:0000016	pharynx
PLANA:0000465	pharynx nerve plexus	PLANA:0000080	peripheral nervous system
PLANA:0000466	subepidermal nerve plexus	PLANA:0007565	asexual organism
PLANA:0000466	subepidermal nerve plexus	PLANA:0000080	peripheral nervous system
PLANA:0000466	subepidermal nerve plexus	PLANA:0004529	integumental system
PLANA:0000467	submuscular nerve plexus	PLANA:0000428	musculature system
